gene_id,Chr,Reads,TPM,Name,Product
BBFGCJEA_04323,ec_contig_18,753,55.2558,crr,PTS system glucose-specific EIIA component
BBFGCJEA_00398,ec_contig_7,1747,55.1732,tufB,Elongation factor Tu 2
BBFGCJEA_01447,ec_contig_16,511,54.9535,grxD,Glutaredoxin 4
BBFGCJEA_03729,ec_contig_17,422,54.837,tusB,Protein TusB
BBFGCJEA_01972,ec_contig_16,1831,54.7753,icd_2,Isocitrate dehydrogenase [NADP]
BBFGCJEA_01656,ec_contig_16,342,54.697,ydcY,putative protein YdcY
BBFGCJEA_03833,ec_contig_17,640,54.3119,yhhA,putative protein YhhA
BBFGCJEA_01622,ec_contig_16,197,53.4245,sra,Stationary-phase-induced ribosome-associated protein
BBFGCJEA_02135,ec_contig_16,939,53.2445,yccA,Modulator of FtsH protease YccA
BBFGCJEA_00507,ec_contig_7,2002,53.1372,glnA,Glutamine synthetase
BBFGCJEA_03550,ec_contig_17,1252,52.9437,nlpI,Lipoprotein NlpI
BBFGCJEA_03415,ec_contig_17,414,52.1672,mqsR,mRNA interferase toxin MqsR
IEOEGPMD_01602,pa_contig_19,107,52.0052,,
BBFGCJEA_01290,ec_contig_16,412,51.396,,hypothetical protein
BBFGCJEA_03699,ec_contig_17,964,51.3917,rpsC,Small ribosomal subunit protein uS3
BBFGCJEA_00393,ec_contig_7,683,51.3269,rplJ,Large ribosomal subunit protein uL10
BBFGCJEA_00722,ec_contig_7,377,51.1194,rpoZ,DNA-directed RNA polymerase subunit omega
BBFGCJEA_03697,ec_contig_17,257,50.094,rpmC,Large ribosomal subunit protein uL29
BBFGCJEA_01847,ec_contig_16,1080,50.0845,trpA,Tryptophan synthase alpha chain
BBFGCJEA_03461,ec_contig_17,101,49.7349,,
BBFGCJEA_00195,ec_contig_4,404,48.9301,hfq,RNA-binding protein Hfq
BBFGCJEA_03018,ec_contig_16,595,48.5129,mraZ,Transcriptional regulator MraZ
BBFGCJEA_02350,ec_contig_16,973,48.3583,gpmA,2%2C3-bisphosphoglycerate-dependent phosphoglycerate mutase
BBFGCJEA_00454,ec_contig_7,566,48.0321,,hypothetical protein
BBFGCJEA_00329,ec_contig_7,265,47.2259,,hypothetical protein
BBFGCJEA_01439,ec_contig_16,1437,46.8048,cfa,Cyclopropane-fatty-acyl-phospholipid synthase
BBFGCJEA_03981,ec_contig_18,2142,46.7967,cysI,Sulfite reductase [NADPH] hemoprotein beta-component
BBFGCJEA_01092,ec_contig_16,285,46.7803,tsuB,Putative sulfur carrier protein TsuB
BBFGCJEA_04207,ec_contig_18,1513,46.6032,iscS,Cysteine desulfurase IscS
BBFGCJEA_01945,ec_contig_16,295,46.583,ycgZ,putative two-component-system connector protein YcgZ
BBFGCJEA_02670,ec_contig_16,391,46.4536,bolA,DNA-binding transcriptional regulator BolA
BBFGCJEA_02293,ec_contig_16,621,46.1121,dps,DNA protection during starvation protein
BBFGCJEA_02151,ec_contig_16,764,45.6015,fabA,3-hydroxydecanoyl-[acyl-carrier-protein] dehydratase
BBFGCJEA_03457,ec_contig_17,261,45.221,rpsU,Small ribosomal subunit protein bS21
BBFGCJEA_03083,ec_contig_16,2295,44.8037,dnaK_2,Chaperone protein DnaK
BBFGCJEA_00196,ec_contig_4,1126,44.311,miaA,tRNA dimethylallyltransferase
BBFGCJEA_02580,ec_contig_16,252,44.2766,ybcJ,Putative RNA-binding protein YbcJ
BBFGCJEA_03654,ec_contig_17,261,43.9988,,hypothetical protein
BBFGCJEA_00446,ec_contig_7,571,43.9697,rraA,Regulator of ribonuclease activity A
BBFGCJEA_00394,ec_contig_7,827,43.9005,rplA,Large ribosomal subunit protein uL1
BBFGCJEA_01268,ec_contig_16,639,43.3227,msrC,Free methionine-R-sulfoxide reductase
BBFGCJEA_03692,ec_contig_17,353,43.1724,rpsN,Small ribosomal subunit protein uS14
